Kaden Fulcher:716,666
Kailer Yamamoto:894,166
Kale Clague:761,666
Kalle Kossila:650,000
Karl Alzner:4,625,000
Karson Kuhlman:750,000
Kasimir Kaskisuo:675,000
Kasperi Kapanen:863,333
Keaton Middleton:null
Keaton Thompson:795,000
Keegan Kolesar:702,500
Keegan Lowe:675,000
Keith Kinkaid:1,250,000
Keith Yandle:6,350,000
Kelly Klima:null
Ken Agostino:null
Ken Appleby:null
Kerby Rychel:725,000
Kevan Miller:2,500,000
Kevin Bahl:null
Kevin Boyle:675,000
Kevin Connauton:1,375,000
Kevin Davis:null
Kevin Ekman-Larsson:null
Kevin Fiala:863,333
Kevin Gravel:700,000
Kevin Hayes:5,175,000
Kevin Labanc:717,500
Kevin Lankinen:925,000
Kevin Lough:null
Kevin Lynch:650,000
Kevin Mandolese:null
Kevin Porter:650,000
Kevin Rooney:700,000
Kevin Roy:874,125
Kevin Shattenkirk:6,650,000
Kevin Stenlund:864,166
Kiefer Sherwood:925,000
Kirill Maksimov:770,833
Klim Kostin:894,166
Kody Clark:null
Kole Lind:891,666
Kole Sherwood:693,333
Korbinian Holzer:900,000
Kris Bindulis:792,500
Kris Letang:7,250,000
Kris Russell:4,000,000
Kristian Pospisil:null
Kristian Reichel:null
Kristian Roykas Marthinsen:null
Kristian Vesalainen:925,000
Kristians Rubins:null
Kurtis MacDermid:675,000
Kyle Bauman:null
Kyle Brodziak:1,150,000
Kyle Capobianco:745,000
Kyle Clifford:1,600,000
Kyle Connor:925,000
Kyle Criscuolo:650,000
Kyle Keyser:716,666
Kyle Okposo:6,000,000
Kyle Olson:null
Kyle Palmieri:4,650,000
Kyle Rau:700,000
Kyle Topping:null
Kyle Turris:6,000,000
Kyle Wood:717,500
Landon Bow:697,500
Landon Ferraro:700,000
Lane Pederson:690,000
Lane Zablocki:null
Lars Eller:3,500,000
Laurent Brossoit:650,000
Laurent Dauphin:787,500
Lawrence Pilut:925,000
Lawson Crouse:894,167
Lee Stempniak:null
Leo Komarov:3,000,000
Leon Draisaitl:8,500,000
Leon Gawanke:null
Liam Foudy:925,000
Liam Hawel:null
Liam Hughes:null
Liam Kirk:null
Liam O'Brien:null
Lias Andersson:894,166
Libor Hajek:833,333
Libor Sulak:833,750
Linus Nassen:null
Linus Olund:null
Linus Ullmark:750,000
Logan Brown:863,333
Logan Couture:6,000,000
Logan Day:null
Logan O'Connor:925,000
Logan Shaw:null
Logan Stanley:863,333
Logan Thompson:null
Loui Eriksson:6,000,000
Louis Belpedio:925,000
Louis Domingue:1,150,000
Luc Snuggerud:767,500
Lucas Carlsson:792,500
Lucas Elvenes:773,333
Lucas Johansen:925,000
Lucas Wallmark:675,000
Ludwig Bystrom:650,000
Lukas Dostal:null
Lukas Jasek:853,333
Lukas Radil:750,000
Lukas Sedlak:825,000
Lukas Vejdemo:792,500
Luke Esposito:null
Luke Glendening:1,800,000
Luke Green:745,000
Luke Henman:null
Luke Johnson:717,500
Luke Kirwan:null
Luke Kunin:925,000
Luke Opilka:697,500
Luke Schenn:800,000
Luke Witkowski:750,000
Mac Hollowell:null
MacKenzie Weegar:900,000
Mackenzie Entwistle:null
Mackenzie Maceachern:650,000
Mackenzie Stewart:null
Macoy Erkamps:655,000
Madison Bowey:1,000,000
Magnus Paajarvi:900,000
Malcolm Subban:650,000
Manuel Wiederer:736,667
Marc Methot:4,900,000
Marc Staal:5,700,000
Marc-Andre Fleury:null
Marc-Edouard Vlasic:7,000,000
Marc-olivier Crevier-morin:null
Marcel Noebels:null
Marco Scandella:4,000,000
Marcus Crawford:null
Marcus Foligno:2,875,000
Marcus Hogberg:835,000
Marcus Hogstrom:700,000
Marcus Johansson:4,583,333
Marcus Kruger:2,775,000
Marcus Pettersson:794,167
Marcus Sorensen:700,000
Marek Mazanec:650,000
Marian Gaborik:4,875,000
Marian Hossa:5,275,000
Mario Kempe:700,000
Mark Alt:725,000
Mark Barberio:1,450,000
